Model,Paper Link,Accuracy,Extra Training Data,Title,Github Href,Paper Href,Year,Parameters,Industry Affiliation,Academia Affiliation,Country
EffNet-L2,https://paperswithcode.com/paper/sharpness-aware-minimization-for-efficiently-1,96.08,Yes,Sharpness-Aware Minimization for Efficiently Improving Generalization,https://paperswithcode.com/paper/sharpness-aware-minimization-for-efficiently-1#code,https://paperswithcode.com/paper/sharpness-aware-minimization-for-efficiently-1/review/?hl=21318,2020,,"BlueShift, Google ",,
SWIN-L + ML-Decoder,https://paperswithcode.com/paper/ml-decoder-scalable-and-versatile,95.1,Yes,ML-Decoder: Scalable and Versatile Classification Head,https://paperswithcode.com/paper/ml-decoder-scalable-and-versatile#code,https://paperswithcode.com/paper/ml-decoder-scalable-and-versatile/review/?hl=44547,2021,,Alibaba,Damo Academy,
ViT-H/14,https://paperswithcode.com/paper/an-image-is-worth-16x16-words-transformers-1,94.55±0.04,Yes,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://paperswithcode.com/paper/an-image-is-worth-16x16-words-transformers-1#code,https://paperswithcode.com/paper/an-image-is-worth-16x16-words-transformers-1/review/?hl=28277,2020,,Google Brain,,
ViT-B-16,https://paperswithcode.com/paper/imagenet-21k-pretraining-for-the-masses,94.2,Yes,ImageNet-21K Pretraining for the Masses,https://paperswithcode.com/paper/imagenet-21k-pretraining-for-the-masses#code,https://paperswithcode.com/paper/imagenet-21k-pretraining-for-the-masses/review/?hl=30597,2021,,Alibaba,Damo Academy,
CvT-W24,https://paperswithcode.com/paper/cvt-introducing-convolutions-to-vision,94.09,Yes,CvT: Introducing Convolutions to Vision Transformers,https://paperswithcode.com/paper/cvt-introducing-convolutions-to-vision#code,https://paperswithcode.com/paper/cvt-introducing-convolutions-to-vision/review/?hl=29256,2021,,Microsoft Cloud AI,McGill University,
ViT-L/16,https://paperswithcode.com/paper/an-image-is-worth-16x16-words-transformers-1,93.90±0.05,Yes,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://paperswithcode.com/paper/an-image-is-worth-16x16-words-transformers-1#code,https://paperswithcode.com/paper/an-image-is-worth-16x16-words-transformers-1/review/?hl=28278,2020,,Google Brain,,
BiT-L,https://paperswithcode.com/paper/large-scale-learning-of-general-visual,93.51,Yes,Big Transfer (BiT): General Visual Representation Learning,https://paperswithcode.com/paper/large-scale-learning-of-general-visual#code,https://paperswithcode.com/paper/large-scale-learning-of-general-visual/review/?hl=9480,2019,,Google Brain,,Switzerland
CaiT-M-36 U 224,https://paperswithcode.com/paper/going-deeper-with-image-transformers,93.1,Yes,Going deeper with Image Transformers,https://paperswithcode.com/paper/going-deeper-with-image-transformers#code,https://paperswithcode.com/paper/going-deeper-with-image-transformers/review/?hl=29444,2021,,Facebook AI Research,Sorbonne University,
TResNet-L-V2,https://paperswithcode.com/paper/tresnet-high-performance-gpu-dedicated,92.6,Yes,TResNet: High Performance GPU-Dedicated Architecture,https://paperswithcode.com/paper/tresnet-high-performance-gpu-dedicated#code,https://paperswithcode.com/paper/tresnet-high-performance-gpu-dedicated/review/?hl=24240,2020,,Alibaba,,
EfficientNetV2-L,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster,92.3,Yes,EfficientNetV2: Smaller Models and Faster Training,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster#code,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster/review/?hl=29458,2021,,Google Brain,,
EfficientNetV2-M,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster,92.2,Yes,EfficientNetV2: Smaller Models and Faster Training,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster#code,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster/review/?hl=29454,2021,,Google Brain,,
BiT-M,https://paperswithcode.com/paper/large-scale-learning-of-general-visual,92.17,Yes,Big Transfer (BiT): General Visual Representation Learning,https://paperswithcode.com/paper/large-scale-learning-of-general-visual#code,https://paperswithcode.com/paper/large-scale-learning-of-general-visual/review/?hl=9484,2019,,Google Brain,,Switzerland
CeiT-S,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual,91.8,Yes,Incorporating Convolution Designs into Visual Transformers,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual#code,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual/review/?hl=28513,2021,,SenseTime,"Nanyang Technological University, HKUST",
CeiT-S,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual,91.8,Yes,Incorporating Convolution Designs into Visual Transformers,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual#code,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual/review/?hl=28520,2021,,SenseTime,"Nanyang Technological University, HKUST",
EfficientNet-B7,https://paperswithcode.com/paper/efficientnet-rethinking-model-scaling-for,91.7,Yes,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,https://paperswithcode.com/paper/efficientnet-rethinking-model-scaling-for#code,https://paperswithcode.com/paper/efficientnet-rethinking-model-scaling-for/review/?hl=11227,2019,64M,Google Brain,,
EfficientNetV2-S,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster,91.5,Yes,EfficientNetV2: Smaller Models and Faster Training,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster#code,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster/review/?hl=29450,2021,,Google Brain,,
GPIPE,https://paperswithcode.com/paper/gpipe-efficient-training-of-giant-neural,91.3,Yes,GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,https://paperswithcode.com/paper/gpipe-efficient-training-of-giant-neural#code,https://paperswithcode.com/paper/gpipe-efficient-training-of-giant-neural/review/?hl=3083,2018,,Google,,
AutoFormer-S | 384,https://paperswithcode.com/paper/autoformer-searching-transformers-for-visual,91.1,Yes,AutoFormer: Searching Transformers for Visual Recognition,https://paperswithcode.com/paper/autoformer-searching-transformers-for-visual#code,https://paperswithcode.com/paper/autoformer-searching-transformers-for-visual/review/?hl=37556,2021,23M,Microsoft Asia,Stony Brook University,
TNT-B,https://paperswithcode.com/paper/transformer-in-transformer,91.1,Yes,Transformer in Transformer,https://paperswithcode.com/paper/transformer-in-transformer#code,https://paperswithcode.com/paper/transformer-in-transformer/review/?hl=27420,2021,65.6M,Huawei Inc.,"University of Chinese Academy of Sciences, University of Macau",
DeiT-B,https://paperswithcode.com/paper/training-data-efficient-image-transformers,90.8,Yes,Training data-efficient image transformers & distillation through attention,https://paperswithcode.com/paper/training-data-efficient-image-transformers#code,https://paperswithcode.com/paper/training-data-efficient-image-transformers/review/?hl=23831,2020,86M,Facebook AI Research,Sorbonne University,
GFNet-H-B,https://paperswithcode.com/paper/global-filter-networks-for-image,90.3,Yes,Global Filter Networks for Image Classification,https://paperswithcode.com/paper/global-filter-networks-for-image#code,https://paperswithcode.com/paper/global-filter-networks-for-image#results,2021,54M,,"Beijing National Research Center for Information Science and Technology, Tsinghua University",
E2E-3M,https://paperswithcode.com/paper/rethinking-recurrent-neural-networks-and,90.27,Yes,Rethinking Recurrent Neural Networks and Other Improvements for Image Classification,https://paperswithcode.com/paper/rethinking-recurrent-neural-networks-and#code,https://paperswithcode.com/paper/rethinking-recurrent-neural-networks-and/review/?hl=36538,2020,,,University of Coimbra,
PyramidNet-272,https://paperswithcode.com/paper/asam-adaptive-sharpness-aware-minimization,89.9,No,ASAM: Adaptive Sharpness-Aware Minimization for Scale-Invariant Learning of Deep Neural Networks,https://paperswithcode.com/paper/asam-adaptive-sharpness-aware-minimization#code,https://paperswithcode.com/paper/asam-adaptive-sharpness-aware-minimization/review/?hl=32000,2021,,Samsung,,
PyramidNet,https://paperswithcode.com/paper/sharpness-aware-minimization-for-efficiently-1,89.7,Yes,Sharpness-Aware Minimization for Efficiently Improving Generalization,https://paperswithcode.com/paper/sharpness-aware-minimization-for-efficiently-1#code,https://paperswithcode.com/paper/sharpness-aware-minimization-for-efficiently-1/review/?hl=21311,2020,,"BlueShift, Google ",,
DVT,https://paperswithcode.com/paper/not-all-images-are-worth-16x16-words-dynamic,89.63,Yes,Not All Images are Worth 16x16 Words: Dynamic Transformers for Efficient Image Recognition,https://paperswithcode.com/paper/not-all-images-are-worth-16x16-words-dynamic#code,https://paperswithcode.com/paper/not-all-images-are-worth-16x16-words-dynamic/review/?hl=34137,2021,,Huawei Inc.,"Beijing Academy of Intelligence, Tsinghua University",
ResMLP-24,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image,89.5,Yes,ResMLP: Feedforward networks for image classification with data-efficient training,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image#code,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image/review/?hl=34936,2021,,"Facebook AI Research, Valeo","Sorbonne University, Inria",
"PyramidNet-272, S=4",https://paperswithcode.com/paper/splitnet-divide-and-co-training,89.46,No,Towards Better Accuracy-efficiency Trade-offs: Divide and Co-training,https://paperswithcode.com/paper/splitnet-divide-and-co-training#code,https://paperswithcode.com/paper/splitnet-divide-and-co-training#results,2020,32.8M,,"The Chinese University of Hong Kong, Zhejiang University",
CeiT-T,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual,89.4,Yes,Incorporating Convolution Designs into Visual Transformers,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual#code,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual/review/?hl=28499,2021,,SenseTime,"Nanyang Technological University, HKUST",
PyramidNet+ShakeDrop,https://paperswithcode.com/paper/autoaugment-learning-augmentation-policies,89.3,No,AutoAugment: Learning Augmentation Policies from Data,https://paperswithcode.com/paper/autoaugment-learning-augmentation-policies#code,https://paperswithcode.com/paper/autoaugment-learning-augmentation-policies/review/?hl=16787,2018,,Google Brain,,
ResNet-152 2x,https://paperswithcode.com/paper/revisiting-resnets-improved-training-and,89.3,Yes,Revisiting ResNets: Improved Training and Scaling Strategies,https://paperswithcode.com/paper/revisiting-resnets-improved-training-and#code,https://paperswithcode.com/paper/revisiting-resnets-improved-training-and/review/?hl=28375,2021,,Google Brain,UC Berkeley,
ViT-B/16- SAM,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets,89.1,Yes,When Vision Transformers Outperform ResNets without Pre-training or Strong Data Augmentations,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets#code,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets/review/?hl=34329,2021,,Google,UCLA,
ConvMLP-M,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for,89.1,Yes,ConvMLP: Hierarchical Convolutional MLPs for Vision,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for#code,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for/review/?hl=39260,2021,,PicsArt Inc.,"University of Oregon, UIUC",
ConvMLP-L,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for,88.6,Yes,ConvMLP: Hierarchical Convolutional MLPs for Vision,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for#code,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for/review/?hl=39263,2021,,PicsArt Inc.,"University of Oregon, UIUC",
ResNet-152x4-AGC,https://paperswithcode.com/paper/effect-of-large-scale-pre-training-on-full,88.54,Yes,Effect of Pre-Training Scale on Intra- and Inter-Domain Full and Few-Shot Transfer Learning for Natural and Medical X-Ray Chest Images,https://paperswithcode.com/paper/effect-of-large-scale-pre-training-on-full#code,https://paperswithcode.com/paper/effect-of-large-scale-pre-training-on-full/review/?hl=34671,2021,,Helmholtz AI,,
ColorNet,https://paperswithcode.com/paper/colornet-investigating-the-importance-of,88.4,No,ColorNet: Investigating the importance of color spaces for image classification,https://paperswithcode.com/paper/colornet-investigating-the-importance-of#code,https://paperswithcode.com/paper/colornet-investigating-the-importance-of/review/?hl=21467,2019,19M,,Tsinghua University,
PyramidNet+ShakeDrop,https://paperswithcode.com/paper/fast-autoaugment,88.3,No,Fast AutoAugment,https://paperswithcode.com/paper/fast-autoaugment#code,https://paperswithcode.com/paper/fast-autoaugment/review/?hl=9315,2019,,Kakao Brain,"UNIST, University of Montreal",
NAT-M4,https://paperswithcode.com/paper/neural-architecture-transfer,88.3,Yes,Neural Architecture Transfer,https://paperswithcode.com/paper/neural-architecture-transfer#code,https://paperswithcode.com/paper/neural-architecture-transfer/review/?hl=16575,2020,9M,,"Southern University of Science and Technology, Michigan State University",
CeiT-T,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual,88,Yes,Incorporating Convolution Designs into Visual Transformers,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual#code,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual/review/?hl=28506,2021,,SenseTime,"Nanyang Technological University, HKUST",
ResNet-152-SAM,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets,87.8,Yes,When Vision Transformers Outperform ResNets without Pre-training or Strong Data Augmentations,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets#code,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets/review/?hl=34327,2021,,Google,UCLA,
NAT-M3,https://paperswithcode.com/paper/neural-architecture-transfer,87.7,Yes,Neural Architecture Transfer,https://paperswithcode.com/paper/neural-architecture-transfer#code,https://paperswithcode.com/paper/neural-architecture-transfer/review/?hl=16576,2020,7.8M,,"Southern University of Science and Technology, Michigan State University	",
ViT-S/16- SAM,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets,87.6,Yes,When Vision Transformers Outperform ResNets without Pre-training or Strong Data Augmentations,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets#code,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets/review/?hl=34328,2021,,Google,UCLA,
NAT-M2,https://paperswithcode.com/paper/neural-architecture-transfer,87.5,Yes,Neural Architecture Transfer,https://paperswithcode.com/paper/neural-architecture-transfer#code,https://paperswithcode.com/paper/neural-architecture-transfer/review/?hl=16577,2020,6.4M,,"Southern University of Science and Technology, Michigan State University ",
"DenseNet-BC-190, S=4",https://paperswithcode.com/paper/splitnet-divide-and-co-training,87.44,No,Towards Better Accuracy-efficiency Trade-offs: Divide and Co-training,https://paperswithcode.com/paper/splitnet-divide-and-co-training#code,https://paperswithcode.com/paper/splitnet-divide-and-co-training#results,2020,26.3M,,"The Chinese University of Hong Kong, Zhejiang University",
ConvMLP-S,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for,87.4,Yes,ConvMLP: Hierarchical Convolutional MLPs for Vision,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for#code,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for/review/?hl=39257,2021,,PicsArt Inc.,"University of Oregon, UIUC",
ResMLP-12,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image,87,Yes,ResMLP: Feedforward networks for image classification with data-efficient training,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image#code,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image/review/?hl=34935,2021,,"Facebook AI Research, Valeo","Sorbonne University, Inria",
"WRN-40-10, S=4",https://paperswithcode.com/paper/splitnet-divide-and-co-training,86.9,No,Towards Better Accuracy-efficiency Trade-offs: Divide and Co-training,https://paperswithcode.com/paper/splitnet-divide-and-co-training#code,https://paperswithcode.com/paper/splitnet-divide-and-co-training#results,2020,,,"The Chinese University of Hong Kong, Zhejiang University",
ResNet50,https://paperswithcode.com/paper/resnet-strikes-back-an-improved-training,86.9,No,ResNet strikes back: An improved training procedure in timm,https://paperswithcode.com/paper/resnet-strikes-back-an-improved-training#code,https://paperswithcode.com/paper/resnet-strikes-back-an-improved-training#results,2021,25M,Facebook AI Research,Sorbonne University,
WRN-28-10 * 3,https://paperswithcode.com/paper/mixmo-mixing-multiple-inputs-for-multiple,86.81,No,MixMo: Mixing Multiple Inputs for Multiple Outputs via Deep Subnetworks,https://paperswithcode.com/paper/mixmo-mixing-multiple-inputs-for-multiple#code,https://paperswithcode.com/paper/mixmo-mixing-multiple-inputs-for-multiple/review/?hl=28413,2021,,"Thales, Valeo",Sorbonne University,
PyramidNet + AA,https://paperswithcode.com/paper/regularizing-neural-networks-via-adversarial,86.64,No,Regularizing Neural Networks via Adversarial Model Perturbation,https://paperswithcode.com/paper/regularizing-neural-networks-via-adversarial#code,https://paperswithcode.com/paper/regularizing-neural-networks-via-adversarial#results,2020,,,"University of Ottawa, Beihang University",
PyramidNet-200 + Shakedrop + Cutmix + PS-KD,https://paperswithcode.com/paper/self-knowledge-distillation-a-simple-way-for,86.41,No,Self-Knowledge Distillation with Progressive Refinement of Targets,https://paperswithcode.com/paper/self-knowledge-distillation-a-simple-way-for#code,https://paperswithcode.com/paper/self-knowledge-distillation-a-simple-way-for/review/?hl=40509,2020,,LG CNS,Seoul National University of Science and Technology,
Mixer-B/16- SAM,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets,86.4,Yes,When Vision Transformers Outperform ResNets without Pre-training or Strong Data Augmentations,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets#code,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets/review/?hl=34331,2021,,Google,UCLA,
PyramidNet-200 + Shakedrop + Cutmix,https://paperswithcode.com/paper/cutmix-regularization-strategy-to-train,86.19,No,CutMix: Regularization Strategy to Train Strong Classifiers with Localizable Features,https://paperswithcode.com/paper/cutmix-regularization-strategy-to-train#code,https://paperswithcode.com/paper/cutmix-regularization-strategy-to-train/review/?hl=8235,2019,,"Naver Corp., Line Plus Corp.",Yonsei University,
MUXNet-m,https://paperswithcode.com/paper/muxconv-information-multiplexing-in,86.1,Yes,MUXConv: Information Multiplexing in Convolutional Neural Networks,https://paperswithcode.com/paper/muxconv-information-multiplexing-in#code,https://paperswithcode.com/paper/muxconv-information-multiplexing-in/review/?hl=16112,2020,2.1M,,Michigan State University,
NAT-M1,https://paperswithcode.com/paper/neural-architecture-transfer,86,Yes,Neural Architecture Transfer,https://paperswithcode.com/paper/neural-architecture-transfer#code,https://paperswithcode.com/paper/neural-architecture-transfer/review/?hl=16578,2020,3.8M,,"Southern University of Science and Technology, Michigan State University ",
WRN-28-10,https://paperswithcode.com/paper/mixmo-mixing-multiple-inputs-for-multiple,85.77,No,MixMo: Mixing Multiple Inputs for Multiple Outputs via Deep Subnetworks,https://paperswithcode.com/paper/mixmo-mixing-multiple-inputs-for-multiple#code,https://paperswithcode.com/paper/mixmo-mixing-multiple-inputs-for-multiple/review/?hl=28409,2021,,"Thales, Valeo",Sorbonne University,
"WRN-28-10, S=4",https://paperswithcode.com/paper/splitnet-divide-and-co-training,85.74,No,Towards Better Accuracy-efficiency Trade-offs: Divide and Co-training,https://paperswithcode.com/paper/splitnet-divide-and-co-training#code,https://paperswithcode.com/paper/splitnet-divide-and-co-training#results,2020,,,"The Chinese University of Hong Kong, Zhejiang University",
WRN-28-8,https://paperswithcode.com/paper/boosting-discriminative-visual-representation,85.5,No,Boosting Discriminative Visual Representation Learning with Scenario-Agnostic Mixup,https://paperswithcode.com/paper/boosting-discriminative-visual-representation#code,https://paperswithcode.com/paper/boosting-discriminative-visual-representation#results,2021,,,Westlake University,
ASANas,https://paperswithcode.com/paper/improving-neural-architecture-search-image,85.42,No,Improving Neural Architecture Search Image Classifiers via Ensemble Learning,https://paperswithcode.com/paper/improving-neural-architecture-search-image#code,https://paperswithcode.com/paper/improving-neural-architecture-search-image/review/?hl=7842,2019,,Google,,
ResNet-50-SAM,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets,85.2,Yes,When Vision Transformers Outperform ResNets without Pre-training or Strong Data Augmentations,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets#code,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets/review/?hl=34326,2021,,Google,UCLA,
WRN-28-8,https://paperswithcode.com/paper/automix-unveiling-the-power-of-mixup,85.16,No,Unveiling the Power of Mixup for Stronger Classifiers,https://paperswithcode.com/paper/automix-unveiling-the-power-of-mixup#code,https://paperswithcode.com/paper/automix-unveiling-the-power-of-mixup#results,2021,,,"Westlake University, University of Chinese Academy of Sciences",
WRN 28-14,https://paperswithcode.com/paper/economical-ensembles-with-hypernetworks,85,No,Neural networks with late-phase weights,https://paperswithcode.com/paper/economical-ensembles-with-hypernetworks#code,https://paperswithcode.com/paper/economical-ensembles-with-hypernetworks/review/?hl=30225,2020,,,"ETH Zurich, University of Zurich",
EEEA-Net-C,https://paperswithcode.com/paper/eeea-net-an-early-exit-evolutionary-neural,84.98,No,EEEA-Net: An Early Exit Evolutionary Neural Architecture Search,https://paperswithcode.com/paper/eeea-net-an-early-exit-evolutionary-neural#code,https://paperswithcode.com/paper/eeea-net-an-early-exit-evolutionary-neural/review/?hl=38330,2021,,,"University of South Australia, Royal University of Bhutan, Naresuan University",
SENet + ShakeEven + Cutout,https://paperswithcode.com/paper/squeeze-and-excitation-networks,84.59,No,Squeeze-and-Excitation Networks,https://paperswithcode.com/paper/squeeze-and-excitation-networks#code,https://paperswithcode.com/paper/squeeze-and-excitation-networks/review/?hl=2734,2017,,Momenta,University of Oxford,
WRN-28-10 with reSGHMC,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange,84.38,No,Non-convex Learning via Replica Exchange Stochastic Gradient MCMC,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange#code,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange/review/?hl=24913,2020,,,"University of Southern California, Purdue University",
PyramidNet-272 + SWA,https://paperswithcode.com/paper/averaging-weights-leads-to-wider-optima-and,84.16,No,Averaging Weights Leads to Wider Optima and Better Generalization,https://paperswithcode.com/paper/averaging-weights-leads-to-wider-optima-and#code,https://paperswithcode.com/paper/averaging-weights-leads-to-wider-optima-and/review/?hl=4159,2018,,Samsung,"Higher School of Economics, Cornell University, Lomonosov Moscow State University",
WRN28-10,https://paperswithcode.com/paper/puzzle-mix-exploiting-saliency-and-local-1,84.05,No,Puzzle Mix: Exploiting Saliency and Local Statistics for Optimal Mixup,https://paperswithcode.com/paper/puzzle-mix-exploiting-saliency-and-local-1#code,https://paperswithcode.com/paper/puzzle-mix-exploiting-saliency-and-local-1/review/?hl=19214,2020,,,Seoul National University,
HCGNet-A3,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid,84.04,No,Gated Convolutional Networks with Hybrid Connectivity for Image Classification,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid#code,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid/review/?hl=39439,2020,11.4M,,University of Chinese Academy of Sciences,
DenseNet-BC-190 + FMix,https://paperswithcode.com/paper/understanding-and-enhancing-mixed-sample-data,83.95,No,FMix: Enhancing Mixed Sample Data Augmentation,https://paperswithcode.com/paper/understanding-and-enhancing-mixed-sample-data#code,https://paperswithcode.com/paper/understanding-and-enhancing-mixed-sample-data/review/?hl=10150,2020,,,University of Southampton,
Grafit,https://paperswithcode.com/paper/grafit-learning-fine-grained-image,83.7,No,Grafit: Learning fine-grained image representations with coarse labels,,https://paperswithcode.com/paper/grafit-learning-fine-grained-image/review/?hl=22084,2020,,Facebook AI Research,Sorbonne University,
HCGNet-A2,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid,83.46,No,Gated Convolutional Networks with Hybrid Connectivity for Image Classification,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid#code,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid/review/?hl=39440,2019,3.1M,,University of Chinese Academy of Sciences,
Res2NeXt-29,https://paperswithcode.com/paper/res2net-a-new-multi-scale-backbone,83.44,No,Res2Net: A New Multi-scale Backbone Architecture,https://paperswithcode.com/paper/res2net-a-new-multi-scale-backbone#code,https://paperswithcode.com/paper/res2net-a-new-multi-scale-backbone/review/?hl=4745,2019,,,"Nankai University, UC Merced, University of Oxford",
