model,paper-link,accuracy,title,github href,paper href,year
rotation,https://paperswithcode.com/paper/image-augmentation-for-object-image,81.45,Image Augmentation for Object Image Classification Based On Combination of PreTrained CNN and SVM,,https://paperswithcode.com/paper/image-augmentation-for-object-image#results,2018
ResNet18,https://paperswithcode.com/paper/extended-batch-normalization,81.04,Extended Batch Normalization,,https://paperswithcode.com/paper/extended-batch-normalization/review/?hl=19896,2020
VGG8B + LocalLearning + CO,https://paperswithcode.com/paper/training-neural-networks-with-local-error,80.75,Training Neural Networks with Local Error Signals,https://paperswithcode.com/paper/training-neural-networks-with-local-error#code,https://paperswithcode.com/paper/training-neural-networks-with-local-error/review/?hl=11260,2019
ResNet18,https://paperswithcode.com/paper/extended-batch-normalization,79.3,Extended Batch Normalization,,https://paperswithcode.com/paper/extended-batch-normalization/review/?hl=19897,2020
PSLR-Linear,https://paperswithcode.com/paper/probabilistic-structural-latent,78.8,Probabilistic Structural Latent Representation for Unsupervised Embedding,,https://paperswithcode.com/paper/probabilistic-structural-latent#results,2020
ResNet18,https://paperswithcode.com/paper/extended-batch-normalization,78.65,Extended Batch Normalization,,https://paperswithcode.com/paper/extended-batch-normalization/review/?hl=19893,2020
Mean Teacher,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1,78.57,FixMatch: Simplifying Semi-Supervised Learning with Consistency and Confidence,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1#code,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1#results,2020
CPC†,https://paperswithcode.com/paper/a-framework-for-contrastive-self-supervised,78.36,A Framework For Contrastive Self-Supervised Learning And Designing A New Approach,https://paperswithcode.com/paper/a-framework-for-contrastive-self-supervised#code,https://paperswithcode.com/paper/a-framework-for-contrastive-self-supervised/review/?hl=19922,2020
Hamiltonian,https://paperswithcode.com/paper/deep-neural-networks-motivated-by-partial,78.3,Deep Neural Networks Motivated by Partial Differential Equations,https://paperswithcode.com/paper/deep-neural-networks-motivated-by-partial#code,https://paperswithcode.com/paper/deep-neural-networks-motivated-by-partial/review/?hl=20223,2018
CC-GAN²,https://paperswithcode.com/paper/semi-supervised-learning-with-context,77.8,Semi-Supervised Learning with Context-Conditional Generative Adversarial Networks,https://paperswithcode.com/paper/semi-supervised-learning-with-context#code,https://paperswithcode.com/paper/semi-supervised-learning-with-context/review/?hl=676,2016
CC-GAN,https://paperswithcode.com/paper/remixmatch-semi-supervised-learning-with-1,77.80,ReMixMatch: Semi-Supervised Learning with Distribution Alignment and Augmentation Anchoring,https://paperswithcode.com/paper/remixmatch-semi-supervised-learning-with-1#code,https://paperswithcode.com/paper/remixmatch-semi-supervised-learning-with-1/review/?hl=20213,2019
Parabolic,https://paperswithcode.com/paper/deep-neural-networks-motivated-by-partial,77.0,Deep Neural Networks Motivated by Partial Differential Equations,https://paperswithcode.com/paper/deep-neural-networks-motivated-by-partial#code,https://paperswithcode.com/paper/deep-neural-networks-motivated-by-partial/review/?hl=20222,2018
Scat + WRN 20-8,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid,76.6,Scaling the Scattering Transform: Deep Hybrid Networks,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid#code,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid/review/?hl=19872,2017
ResNet18,https://paperswithcode.com/paper/extended-batch-normalization,76.49,Extended Batch Normalization,,https://paperswithcode.com/paper/extended-batch-normalization/review/?hl=19898,2020
Exemplar CNN,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid,75.7,Scaling the Scattering Transform: Deep Hybrid Networks,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid#code,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid/review/?hl=19884,2017
ResNet18,https://paperswithcode.com/paper/extended-batch-normalization,75.57,Extended Batch Normalization,,https://paperswithcode.com/paper/extended-batch-normalization/review/?hl=19894,2020
Stacked what-where AE,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid,74.33,Scaling the Scattering Transform: Deep Hybrid Networks,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid#code,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid/review/?hl=19885,2017
SWWAE,https://paperswithcode.com/paper/hybridnet-classification-and-reconstruction,74.33,HybridNet: Classification and Reconstruction Cooperation for Semi-Supervised Learning,,https://paperswithcode.com/paper/hybridnet-classification-and-reconstruction/review/?hl=20202,2018
SWWAE,https://paperswithcode.com/paper/remixmatch-semi-supervised-learning-with-1,74.30,ReMixMatch: Semi-Supervised Learning with Distribution Alignment and Augmentation Anchoring,https://paperswithcode.com/paper/remixmatch-semi-supervised-learning-with-1#code,https://paperswithcode.com/paper/remixmatch-semi-supervised-learning-with-1/review/?hl=673,2019
SWWAE,https://paperswithcode.com/paper/stacked-what-where-auto-encoders,74.3,Stacked What-Where Auto-encoders,https://paperswithcode.com/paper/stacked-what-where-auto-encoders#code,https://paperswithcode.com/paper/stacked-what-where-auto-encoders/review/?hl=674,2015
Second-order,https://paperswithcode.com/paper/deep-neural-networks-motivated-by-partial,74.3,Deep Neural Networks Motivated by Partial Differential Equations,https://paperswithcode.com/paper/deep-neural-networks-motivated-by-partial#code,https://paperswithcode.com/paper/deep-neural-networks-motivated-by-partial/review/?hl=20224,2018
Convolutional Clustering,https://paperswithcode.com/paper/convolutional-clustering-for-unsupervised,74.1,Convolutional Clustering for Unsupervised Learning,,https://paperswithcode.com/paper/convolutional-clustering-for-unsupervised/review/?hl=675,2015
?-Model,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1,73.77,FixMatch: Simplifying Semi-Supervised Learning with Consistency and Confidence,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1#code,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1#results,2020
Discriminative Unsupervised Feature Learning with Convolutional Neural Networks,https://paperswithcode.com/paper/discriminative-unsupervised-feature-learning-1,72.8,Discriminative Unsupervised Feature Learning with Convolutional Neural Networks,,https://paperswithcode.com/paper/discriminative-unsupervised-feature-learning-1#results,2014
ResNet18,https://paperswithcode.com/paper/extended-batch-normalization,72.66,Extended Batch Normalization,,https://paperswithcode.com/paper/extended-batch-normalization/review/?hl=19895,2020
Pseudo-Labeling,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1,72.01,FixMatch: Simplifying Semi-Supervised Learning with Consistency and Confidence,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1#code,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1#results,2020
Entropy,https://paperswithcode.com/paper/increasing-trustworthiness-of-deep-neural,71.65,Increasing Trustworthiness of Deep Neural Networks via Accuracy Monitoring,,https://paperswithcode.com/paper/increasing-trustworthiness-of-deep-neural/review/?hl=19901,2020
BDW,https://paperswithcode.com/paper/dont-wait-just-weight-improving-unsupervised,71.12,"Don’t Wait, Just Weight: Improving Unsupervised Representations by Learning Goal-Driven Instance Weights",,https://paperswithcode.com/paper/dont-wait-just-weight-improving-unsupervised#results,2020
MP,https://paperswithcode.com/paper/increasing-trustworthiness-of-deep-neural,71.05,Increasing Trustworthiness of Deep Neural Networks via Accuracy Monitoring,,https://paperswithcode.com/paper/increasing-trustworthiness-of-deep-neural/review/?hl=19900,2020
CNN,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid,70.7,Scaling the Scattering Transform: Deep Hybrid Networks,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid#code,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid/review/?hl=19881,2017
An Analysis of Unsupervised Pre-training in Light of Recent Advances,https://paperswithcode.com/paper/an-analysis-of-unsupervised-pre-training-in,70.2,An Analysis of Unsupervised Pre-training in Light of Recent Advances,https://paperswithcode.com/paper/an-analysis-of-unsupervised-pre-training-in#code,https://paperswithcode.com/paper/an-analysis-of-unsupervised-pre-training-in/review/?hl=671,2014
Multi-Task Bayesian Optimization,https://paperswithcode.com/paper/multi-task-bayesian-optimization,70.1,Multi-Task Bayesian Optimization,https://paperswithcode.com/paper/multi-task-bayesian-optimization#code,https://paperswithcode.com/paper/multi-task-bayesian-optimization#results,2013
NN-Weighter,https://paperswithcode.com/paper/dont-wait-just-weight-improving-unsupervised,69.15,"Don’t Wait, Just Weight: Improving Unsupervised Representations by Learning Goal-Driven Instance Weights",,https://paperswithcode.com/paper/dont-wait-just-weight-improving-unsupervised#results,2020
Accuracy Monitoring,https://paperswithcode.com/paper/increasing-trustworthiness-of-deep-neural,68.62,Increasing Trustworthiness of Deep Neural Networks via Accuracy Monitoring,,https://paperswithcode.com/paper/increasing-trustworthiness-of-deep-neural/review/?hl=19899,2020
C-SVDDNet,https://paperswithcode.com/paper/unsupervised-feature-learning-with-c-svddnet,68.2,Unsupervised Feature Learning with C-SVDDNet,,https://paperswithcode.com/paper/unsupervised-feature-learning-with-c-svddnet/review/?hl=672,2014
RotNet,https://paperswithcode.com/paper/dont-wait-just-weight-improving-unsupervised,68.19,"Don’t Wait, Just Weight: Improving Unsupervised Representations by Learning Goal-Driven Instance Weights",,https://paperswithcode.com/paper/dont-wait-just-weight-improving-unsupervised#results,2020
DFF Committees,https://paperswithcode.com/paper/committees-of-deep-feedforward-networks,68,Committees of deep feedforward networks trained with few data,,https://paperswithcode.com/paper/committees-of-deep-feedforward-networks/review/?hl=668,2014
Hierarchical Matching Pursuit,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid,64.6,Scaling the Scattering Transform: Deep Hybrid Networks,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid#code,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid/review/?hl=19886,2017
L2RW,https://paperswithcode.com/paper/dont-wait-just-weight-improving-unsupervised,63.13,"Don’t Wait, Just Weight: Improving Unsupervised Representations by Learning Goal-Driven Instance Weights",,https://paperswithcode.com/paper/dont-wait-just-weight-improving-unsupervised#results,2020
Discriminative Learning of Sum-Product Networks,https://paperswithcode.com/paper/discriminative-learning-of-sum-product,62.3,Discriminative Learning of Sum-Product Networks,,https://paperswithcode.com/paper/discriminative-learning-of-sum-product#results,2011
CKN,https://paperswithcode.com/paper/convolutional-kernel-networks,62.3,Convolutional Kernel Networks,,https://paperswithcode.com/paper/convolutional-kernel-networks/review/?hl=669,2014
S-CNN,https://paperswithcode.com/paper/selective-unsupervised-feature-learning-with,61.94,Selective Unsupervised Feature Learning with Convolutional Neural Network (S-CNN),,https://paperswithcode.com/paper/selective-unsupervised-feature-learning-with#results,2016
Simulated Fixations,https://paperswithcode.com/paper/a-framework-for-contrastive-self-supervised,61,A Framework For Contrastive Self-Supervised Learning And Designing A New Approach,https://paperswithcode.com/paper/a-framework-for-contrastive-self-supervised#code,https://paperswithcode.com/paper/a-framework-for-contrastive-self-supervised/review/?hl=661,2020
No more meta-parameter tuning in unsupervised sparse feature learning,https://paperswithcode.com/paper/no-more-meta-parameter-tuning-in-unsupervised,61,No more meta-parameter tuning in unsupervised sparse feature learning,,https://paperswithcode.com/paper/no-more-meta-parameter-tuning-in-unsupervised/review/?hl=666,2014
Convolutional K-means Network,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid,60.2,Scaling the Scattering Transform: Deep Hybrid Networks,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid#code,https://paperswithcode.com/paper/scaling-the-scattering-transform-deep-hybrid/review/?hl=19887,2017
Receptive Fields,https://paperswithcode.com/paper/receptive-fields-without-spike-triggering,60.1,Receptive Fields without Spike-Triggering,,https://paperswithcode.com/paper/receptive-fields-without-spike-triggering#results,2007
PWD,https://paperswithcode.com/paper/effective-version-space-reduction-for,59.45,Effective Version Space Reduction for Convolutional Neural Networks,,https://paperswithcode.com/paper/effective-version-space-reduction-for/review/?hl=19913,2020
GVD,https://paperswithcode.com/paper/effective-version-space-reduction-for,59.33,Effective Version Space Reduction for Convolutional Neural Networks,,https://paperswithcode.com/paper/effective-version-space-reduction-for/review/?hl=19914,2020
VR,https://paperswithcode.com/paper/effective-version-space-reduction-for,59.13,Effective Version Space Reduction for Convolutional Neural Networks,,https://paperswithcode.com/paper/effective-version-space-reduction-for/review/?hl=664,2020
Core SET,https://paperswithcode.com/paper/effective-version-space-reduction-for,58.93,Effective Version Space Reduction for Convolutional Neural Networks,,https://paperswithcode.com/paper/effective-version-space-reduction-for/review/?hl=19911,2020
GE,https://paperswithcode.com/paper/effective-version-space-reduction-for,58.84,Effective Version Space Reduction for Convolutional Neural Networks,,https://paperswithcode.com/paper/effective-version-space-reduction-for/review/?hl=19909,2020
DFAL,https://paperswithcode.com/paper/effective-version-space-reduction-for,58.81,Effective Version Space Reduction for Convolutional Neural Networks,,https://paperswithcode.com/paper/effective-version-space-reduction-for/review/?hl=19912,2020
Random,https://paperswithcode.com/paper/effective-version-space-reduction-for,58.15,Effective Version Space Reduction for Convolutional Neural Networks,,https://paperswithcode.com/paper/effective-version-space-reduction-for/review/?hl=659,2020
BALD-MCD,https://paperswithcode.com/paper/effective-version-space-reduction-for,57.35,Effective Version Space Reduction for Convolutional Neural Networks,,https://paperswithcode.com/paper/effective-version-space-reduction-for/review/?hl=19910,2020
Sign-symmetry,https://paperswithcode.com/paper/how-important-is-weight-symmetry-in,57.32,How Important is Weight Symmetry in Backpropagation?,https://paperswithcode.com/paper/how-important-is-weight-symmetry-in#code,https://paperswithcode.com/paper/how-important-is-weight-symmetry-in/review/?hl=20692,2015
M2-PWD,https://paperswithcode.com/paper/effective-version-space-reduction-for,57.31,Effective Version Space Reduction for Convolutional Neural Networks,,https://paperswithcode.com/paper/effective-version-space-reduction-for/review/?hl=19915,2020
soft ica,https://paperswithcode.com/paper/ica-with-reconstruction-cost-for-efficient,51.5,ICA with Reconstruction Cost for Efficient Overcomplete Feature Learning,,https://paperswithcode.com/paper/ica-with-reconstruction-cost-for-efficient#results,2011
